ImageURL,Title,Journal,Published,Authors,DOI,Link,Description
https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41565-025-01933-0/MediaObjects/41565_2025_1933_Fig1_HTML.png,Supramolecular polymerization through rotation of light-driven molecular motors,Nature Nanotechnology,,"Philippe Schiel, Mounir Maaloum, Emilie Moulin, Irina Nyrkova, Alexander Semenov, Damien Dattler, Lou-Ann Accou, Anastasia Christoulaki, Eric Buhler, Rémi Plamont, Jean-Marie Lehn, Nicolas Giuseppone",10.1038/s41565-025-01933-0An,https://www.nature.com/articles/s41565-025-01933-0,"Nature Nanotechnology, Published online: 23 May 2025; doi:10.1038/s41565-025-01933-0An amphiphilic light-driven rotary motor is shown to form Langmuir monolayers at the air–water interface. Upon ultraviolet irradiation, the continuous rotation of the motor triggers its supramolecular polymerization and subsequent nanopatterning of the interfacial layer."
https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41578-025-00809-y/MediaObjects/41578_2025_809_Fig1_HTML.png,Multimaterial extrusion 3D printing printheads,Nature Reviews Materials,,"Nathan C. Brown, Daniel C. Ames, Jochen Mueller",10.1038/s41578-025-00809-yMultimaterial,https://www.nature.com/articles/s41578-025-00809-y,"Nature Reviews Materials, Published online: 22 May 2025; doi:10.1038/s41578-025-00809-yMultimaterial extrusion 3D printing enables the printing of systems ranging from tunable architected metamaterials to functional tissue from living cells and soft robotics with integrated sensing. This Review surveys advanced multifunctional printheads for multilateral 3D printing, exploring their role in materials design, ability to overcome processing limitations and impact on emerging applications."
https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41578-025-00808-z/MediaObjects/41578_2025_808_Fig1_HTML.png,Inorganic solid-state electrolyte membranes for lithium extraction,Nature Reviews Materials,,"Ze-Xian Low, Qianxi Zhang, Qiuyue Wang, Zhouyou Wang, Zhaoxiang Zhong, Weihong Xing, Huanting Wang",10.1038/s41578-025-00808-zWith,https://www.nature.com/articles/s41578-025-00808-z,"Nature Reviews Materials, Published online: 16 May 2025; doi:10.1038/s41578-025-00808-zWith the shift towards renewable energy, demand for lithium is surging — underscoring the need for more efficient and sustainable ways to harvest it. Inorganic solid-state electrolytes, most known for their role in all-solid-state batteries, offer largely untapped potential as ion separation membrane materials for direct lithium extraction."
https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41578-025-00802-5/MediaObjects/41578_2025_802_Fig1_HTML.png,Gaps in quantifying environmental losses of plastics impede effective solutions,Nature Reviews Materials,,"Vinay Yadav, Xunchang Fei, Mohit Arora, Tim H. M. van Emmerik, Yao Wang, Alexis Laurent",10.1038/s41578-025-00802-5Ongoing,https://www.nature.com/articles/s41578-025-00802-5,"Nature Reviews Materials, Published online: 30 April 2025; doi:10.1038/s41578-025-00802-5Ongoing plastics losses to marine, freshwater and terrestrial ecosystems continue to exacerbate the global environmental crisis. Variations in data, methods and assumptions across studies have led to inconsistent estimates of plastics losses and their ecological impacts. These estimates must now be improved to develop and deliver effective interventions."
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Co-Incorporated S-Doped Graphitic Carbon Derived from Orange Peel Biowaste: An Efficient Electrocatalyst for Sustainable Water Splitting and Urea Oxidation,ACS Energy & Fuels,2025-05-25,"Madasu Sreenivasulu, Ghada A. Khouqeer, Ranjan S. Shetti, Naglaa AbdelAll, Abdullah N. Alodhayb, and Nagaraj P. Shetti",10.1021/acs.energyfuels.5c01742,http://dx.doi.org/10.1021/acs.energyfuels.5c01742,Energy  FuelsDOI: 10.1021/acs.energyfuels.5c01742
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Enhancing Hydrogen Storage Efficiency in Organic-Rich Shales Using Silica Nanofluids: A Comprehensive Study on Wettability Alteration,ACS Energy & Fuels,2025-05-23,"Amer Alanazi, Mujahid Ali, Saleh A. Bawazeer, Muhammad Ali, Israa S. Abu-Mahfouz, Zeeshan Tariq, Norah Aljeban, Hussein Rasool Abid, Alireza Keshavarz, Stefan Iglauer, and Hussein Hoteit",10.1021/acs.energyfuels.4c06211,http://dx.doi.org/10.1021/acs.energyfuels.4c06211,Energy  FuelsDOI: 10.1021/acs.energyfuels.4c06211
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Tin Oxide with Trace Metallic Rhodium (0) Impurity for Overall Water Splitting Reaction: Impact of Rh Loading and Twin Boundaries,ACS Energy & Fuels,2025-05-22,"Ashawari Dewri, Gaurisankar Phukan, Salma A. Khanam, Donguk Kim, Young-Bin Park, and Kusum K. Bania",10.1021/acs.energyfuels.5c00903,http://dx.doi.org/10.1021/acs.energyfuels.5c00903,Energy  FuelsDOI: 10.1021/acs.energyfuels.5c00903
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Preparation of Green and High-Performance Industrial Polymer Waste-Derived Hard Carbon Electrodes for Sodium-Ion Battery,ACS Energy & Fuels,2025-05-20,"Zixin Gao, Aoxuan Zhang, Jinzhuang Geng, Jai Kumar, Haoxin Li, Zhuanpei Wang, and Xiaowei Yang",10.1021/acs.energyfuels.5c01456,http://dx.doi.org/10.1021/acs.energyfuels.5c01456,Energy  FuelsDOI: 10.1021/acs.energyfuels.5c01456
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Recent Development in Molecular Dynamics Simulations of Gas Hydrates in Flow Assurance,ACS Energy & Fuels,2025-05-19,"Parisa Naeiji, Mengdi Pan, Judith M. Schicks, and Niall J. English",10.1021/acs.energyfuels.5c00558,http://dx.doi.org/10.1021/acs.energyfuels.5c00558,Energy  FuelsDOI: 10.1021/acs.energyfuels.5c00558
https://placehold.co/100x75/E2E8F0/4A5568?text=No+Img,[ASAP] Exploring Cellulose Fast Pyrolysis Secondary Reactions Through Reactive Molecular Dynamics and Direct Insertion Probe Fourier Transform Ion Cyclotron Resonance Mass Spectrometry,ACS Energy & Fuels,2025-05-17,"Valentina Sierra-Jimenez, Théo Voellinger, Vincent Carré, Farid Chejne, Sébastien Schramm, Frédéric Aubriet, and Manuel Garcia-Perez",10.1021/acs.energyfuels.5c01308,http://dx.doi.org/10.1021/acs.energyfuels.5c01308,Energy  FuelsDOI: 10.1021/acs.energyfuels.5c01308
